ESVs,species,identity_percentage,coverage,evalue,bitscore,source
ESV_119,Murrayinella_globosa_18043,85.67,99,1.04E-93,339,Genbank
ESV_120,Vertebralina_Rik_9325_consensus0_1751,99.377,100,4.32E-167,582,Genbank
ESV_123,Milliolid_red_Rik_9370_9371_9372_Israel,96.885,100,9.47E-154,538,Genbank
ESV_124,Peneroplis_sp1_Spermonde,95.016,100,9.61E-144,505,Genbank
ESV_125,Cyrea_szymborska_17247,100,94,2.02E-160,560,Genbank
ESV_126,Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._5247_Spermonde,99.375,99,1.56E-166,580,Genbank
ESV_127,Milliolid_red_Rik_9370_9371_9372_Israel,96.573,100,4.41E-152,532,Genbank
ESV_128,Elphidium_williamsoni_13170,95.356,100,1.61E-146,514,Genbank
ESV_129,Operculina_complanata,100,100,1.55E-171,597,Genbank
ESV_130,Sorites_sp_Rik_9395_9409_9410_Israel,98.75,99,3.36E-163,569,Genbank
ESV_132,Textularid_Rik_9398_consensus128_73,100,100,1.99E-170,593,Genbank
ESV_133,Heterostegina_depressa_sp1_Spermonde,99.69,100,2.6E-169,590,Genbank
ESV_134,Milliolid_red_Rik_9370_9371_9372_Israel,98.754,100,9.34E-164,571,Genbank
ESV_135,Nummulites_venosus,99.071,100,1.56E-166,580,Genbank
ESV_136,Encrusting_Rik_9441_consensus0_977,98.762,100,7.27E-165,575,Genbank
ESV_137,Cyrea_szymborska_17247,95.806,96,4.5E-142,499,Genbank
ESV_138,Pyrgo_Rik_9347_consensus0_1557,99.065,100,2.01E-165,577,Genbank
ESV_139,Murrayinella_globosa_18043,98.142,100,1.57E-161,564,Genbank
ESV_140,Borelis_schlumbergeri_3737_Spermonde,99.065,100,2.01E-165,577,Genbank
ESV_141,Encrusting_Rik_9441_consensus0_977,99.071,100,1.56E-166,580,Genbank
ESV_143,Entzia_macrescens_13533,87.662,95,2.87E-99,357,Genbank
ESV_144,Rosalina_sp._17595,98.452,100,3.38E-163,569,Genbank
ESV_145,Borelis_schlumbergeri_3737_Spermonde,98.142,100,5.66E-161,562,Genbank
ESV_146,Operculina_complanata,99.071,100,1.56E-166,580,Genbank
ESV_147,Trifarina_earlandi_&_Uvigerina_bifurcata,92.089,98,5.95E-126,446,Genbank
ESV_148,Planorbulinella_Rik_9331_consensus21_181,93.827,99,3.5E-138,486,Genbank
ESV_149,Trifarina_earlandi_&_Uvigerina_bifurcata,100,100,1.55E-171,597,Genbank
ESV_150,Milliolid_red_Rik_9370_9371_9372_Israel,99.377,100,4.32E-167,582,Genbank
ESV_151,Encrusting_Rik_9441_consensus0_977,99.071,100,1.56E-166,580,Genbank
ESV_152,Trifarina_earlandi_&_Uvigerina_bifurcata,88.854,99,6.07E-111,396,Genbank
ESV_153,Calcarina_sp._Spermonde,99.071,100,1.56E-166,580,Genbank
ESV_155,Calcarina_sp._5164_Spermonde,99.381,100,3.36E-168,586,Genbank
ESV_156,Borelis_schlumbergeri_3737_Spermonde,98.452,100,1.22E-162,568,Genbank
ESV_157,Discanomalina_coronata_18034,95.925,99,1.24E-147,518,Genbank
ESV_158,Milliolid_red_Rik_9370_9371_9372_Israel,98.131,100,2.02E-160,560,Genbank
ESV_159,Heterostegina_depressa_sp1_Spermonde,99.071,100,5.62E-166,579,Genbank
ESV_161,Cyrea_szymborska_17247,93.871,96,1.64E-131,464,Genbank
ESV_162,Encrusting_Rik_9441_consensus0_977,97.833,100,7.32E-160,558,Genbank
ESV_163,Micrometula_sp._17554,89.744,97,4.7E-112,399,Genbank
ESV_164,Encrusting_Rik_9441_consensus0_977,98.142,100,1.57E-161,564,Genbank
ESV_165,Glabratella_sp._17918,92.26,100,7.64E-130,459,Genbank
ESV_166,Milliolid_red_Rik_9370_9371_9372_Israel,98.754,100,9.34E-164,571,Genbank
ESV_167,Oridorsalis_umbonatus_18653,95.625,99,1.61E-146,514,Genbank
ESV_168,Textularid_Rik_9399_consensus0_1584,99.071,100,1.56E-166,580,Genbank
ESV_169,Eggerelloides_scaber_12301,94.737,100,3.48E-143,503,Genbank
ESV_170,Eggerelloides_scaber_12301,95.666,100,1.24E-147,518,Genbank
ESV_172,Borelis_schlumbergeri_3737_Spermonde,98.754,100,9.34E-164,571,Genbank
ESV_173,Calcarina_sp._5165_Spermonde,100,100,1.55E-171,597,Genbank
ESV_174,Encrusting_Rik_9441_consensus0_977,96.904,100,7.37E-155,542,Genbank
ESV_175,Textularid_Rik_9398_consensus128_73,91.304,100,9.89E-124,438,Genbank
ESV_176,Neorotalia_gaimardi_&_Baculogypsina_sphaerulata_Spermonde,99.071,100,1.56E-166,580,Genbank
ESV_178,Encrusting_Rik_9441_consensus0_977,98.452,100,3.38E-163,569,Genbank
ESV_179,Amphisorus_Rik_9393_9396_&_Biloculina_Rik_9439,95.327,100,2.07E-145,510,Genbank
ESV_180,Vertebralina_Rik_9325_consensus0_1751,100,100,1.99E-170,593,Genbank
ESV_181,Miliolid_Rik_9365_consensus0_1988,99.065,100,2.01E-165,577,Genbank
ESV_182,Calcarina_sp._Spermonde,99.381,100,3.36E-168,586,Genbank
ESV_183,Milliolid_red_Rik_9370_9371_9372_Israel,97.819,100,9.41E-159,555,Genbank
ESV_184,Discanomalina_coronata_18034,95.298,99,2.69E-144,507,Genbank
ESV_185,Eggerelloides_scaber_12301,91.641,99,5.95E-126,446,Genbank
ESV_187,Textularid_Rik_9399_consensus0_1584,97.531,100,3.41E-158,553,Genbank
ESV_188,Rosalina_sp._17595,99.057,98,9.4E-164,571,Genbank
ESV_189,Stainforthia_sp._17321,98.452,100,3.38E-163,569,Genbank
ESV_191,Rosalina_sp._17595,98.428,98,2.04E-160,560,Genbank
ESV_192,Epistominella_exigua_18607,90.712,100,1.67E-121,431,Genbank
ESV_194,Discanomalina_coronata_18034,95.611,99,5.78E-146,512,Genbank
ESV_195,Eggerelloides_scaber_12301,98.452,100,3.38E-163,569,Genbank
ESV_196,Vertebralina_Rik_9325_consensus0_1751,99.377,100,4.32E-167,582,Genbank
ESV_198,Cyrea_szymborska_17247,94.839,96,4.53E-137,483,Genbank
ESV_200,Trifarina_earlandi_&_Uvigerina_bifurcata,89.783,99,6.03E-116,412,Genbank
ESV_202,Planorbulinella_sp._17893,98.452,100,3.38E-163,569,Genbank
ESV_203,Discanomalina_coronata_18034,95.611,99,5.78E-146,512,Genbank
ESV_204,Miliolid_Rik_9400_9405_Israel,100,100,1.99E-170,593,Genbank
ESV_205,Trifarina_earlandi_&_Uvigerina_bifurcata,95.031,99,2.69E-144,507,Genbank
ESV_206,Eggerelloides_scaber_12301,94.427,100,1.62E-141,497,Genbank
ESV_207,Calcarina_hispida_&_Calcarina_sp_5163_Spermonde,99.071,100,1.56E-166,580,Genbank
ESV_210,Murrayinella_globosa_18043,98.457,100,3.38E-163,569,Genbank
ESV_211,Glabratella_sp._17918,99.381,100,3.36E-168,586,Genbank
ESV_212,Textularid_Rik_9398_consensus128_73,90.994,100,4.6E-122,433,Genbank
ESV_213,Borelis_schlumbergeri_3737_Spermonde,95.016,100,9.61E-144,505,Genbank
ESV_214,Murrayinella_globosa_18043,98.452,100,3.38E-163,569,Genbank
ESV_217,Oridorsalis_umbonatus_18653,94.737,100,3.48E-143,503,Genbank
ESV_220,Milliolid_red_Rik_9370_9371_9372_Israel,97.196,100,2.04E-155,544,Genbank
ESV_221,Sorites_sp1_Spermonde,98.754,100,9.34E-164,571,Genbank
ESV_222,Haynesina_germanica_18209,92.879,99,1.27E-132,468,Genbank
ESV_223,Operculina_complanata,98.762,100,7.27E-165,575,Genbank
ESV_224,Rosalina_sp._17595,99.057,98,9.4E-164,571,Genbank
ESV_225,Encrusting_Rik_9441_consensus0_977,98.452,100,3.38E-163,569,Genbank
ESV_226,Rosalina_sp._17595,98.452,100,3.38E-163,569,Genbank
ESV_227,Rosalina_sp._17595,97.214,100,1.58E-156,547,Genbank
ESV_228,Entzia_macrescens_13533,87.338,95,1.33E-97,351,Genbank
ESV_230,Encrusting_Rik_9441_consensus0_977,98.762,100,7.27E-165,575,Genbank
ESV_231,Textularid_Rik_9397_consensus4_105,99.071,100,1.56E-166,580,Genbank
ESV_232,Encrusting_Rik_9441_consensus0_977,92.879,100,3.53E-133,470,Genbank
ESV_234,Heterostegina_depressa_sp1_Spermonde,98.762,100,2.61E-164,573,Genbank
ESV_235,Encrusting_Rik_9441_consensus0_977,97.833,100,7.32E-160,558,Genbank
ESV_236,Murrayinella_globosa_18043,97.833,100,7.32E-160,558,Genbank
ESV_237,Textularid_Rik_9399_consensus0_1584,84.112,98,1.05E-83,305,Genbank
ESV_239,Stainforthia_sp._17321,96.885,99,9.54E-154,538,Genbank
ESV_240,Rosalina_sp._17595,94.118,100,7.53E-140,492,Genbank
ESV_241,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,99.69,100,7.22E-170,592,Genbank
ESV_242,Cyrea_szymborska_17247,94.516,96,2.11E-135,477,Genbank
ESV_243,Pararotalia_calcariformata_Rik_9387_9388_9389_Israel,99.381,100,3.36E-168,586,Genbank
ESV_244,Cribrorotalia_sp._17611,90.654,99,2.15E-120,427,Genbank
ESV_245,Borelis_schlumbergeri_3737_Spermonde,98.754,100,9.34E-164,571,Genbank
ESV_246,Borelis_schlumbergeri_3737_Spermonde,93.458,100,2.09E-135,477,Genbank
ESV_247,Calcarina_sp._5165_Spermonde,98.762,100,7.27E-165,575,Genbank
ESV_248,Lacogromia_cassipara_18990,85.449,99,1.34E-92,335,Genbank
ESV_250,Planorbulinella_sp._17893,97.833,100,7.32E-160,558,Genbank
ESV_251,Textularid_Rik_9397_consensus4_105,100,100,1.55E-171,597,Genbank
ESV_252,Borelis_schlumbergeri_3737_Spermonde,90.966,100,4.6E-122,433,Genbank
ESV_255,Encrusting_Rik_9441_consensus0_977,97.833,100,7.32E-160,558,Genbank
ESV_256,Trifarina_earlandi_&_Uvigerina_bifurcata,98.452,100,3.38E-163,569,Genbank
ESV_257,Encrusting_Rik_9441_consensus0_977,97.523,100,3.41E-158,553,Genbank
ESV_259,Micrometula_sp._17554,90.064,97,1.01E-113,405,Genbank
ESV_260,Heterostegina_depressa_sp2_Spermonde,98.125,99,7.32E-160,558,Genbank
ESV_262,Textularia_gramen_13633,95.484,96,5.82E-141,496,Genbank
ESV_263,Operculina_complanata,98.142,100,1.57E-161,564,Genbank
ESV_264,Encrusting_Rik_9441_consensus0_977,98.452,100,3.38E-163,569,Genbank
ESV_267,Pyrgo_Rik_9347_consensus0_1557,100,100,1.99E-170,593,Genbank
ESV_268,Pyrgo_Rik_9347_consensus0_1557,86.769,100,1.03E-98,355,Genbank
ESV_269,Murrayinella_globosa_18043,98.142,100,1.57E-161,564,Genbank
ESV_270,Discanomalina_coronata_18034,96.309,92,2.71E-139,490,Genbank
ESV_271,Epistominella_exigua_18607,90.402,100,7.75E-120,425,Genbank
ESV_272,Encrusting_Rik_9441_consensus0_977,96.594,100,3.43E-153,536,Genbank
ESV_274,Nummulites_venosus,98.762,100,7.27E-165,575,Genbank
ESV_275,Trifarina_earlandi_&_Uvigerina_bifurcata,92.835,99,4.56E-132,466,Genbank
ESV_276,Textularid_Rik_9399_consensus0_1584,83.801,98,4.9E-82,300,Genbank
ESV_277,Borelis_schlumbergeri_3737_Spermonde,93.769,100,4.5E-137,483,Genbank
ESV_278,Cyrea_szymborska_17247,94.839,96,4.53E-137,483,Genbank
ESV_279,Rosalina_sp._17595,97.523,100,3.41E-158,553,Genbank
ESV_280,Cyrea_szymborska_17247,92.233,96,3.58E-123,436,Genbank
ESV_281,Amphistegina_bicirculata_Rik_9379_9380_9381_9382_Eilat,96.594,99,1.23E-152,534,Genbank
ESV_283,Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._5247_Spermonde,98.452,100,3.38E-163,569,Genbank
ESV_284,Cribrorotalia_sp._17611,90.402,100,7.75E-120,425,Genbank
ESV_286,Encrusting_Rik_9441_consensus0_977,98.762,100,7.27E-165,575,Genbank
ESV_287,Textularid_Rik_9399_consensus0_1584,91.562,99,2.77E-124,440,Genbank
ESV_288,Milliolid_red_Rik_9370_9371_9372_Israel,99.065,100,2.01E-165,577,Genbank
ESV_289,Murrayinella_globosa_18043,88.272,100,3.66E-108,387,Genbank
ESV_290,Textularid_Rik_9397_consensus4_105,97.819,99,9.47E-159,555,Genbank
ESV_291,Sorites_sp2_Spermonde,98.754,100,9.34E-164,571,Genbank
ESV_292,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,99.071,100,1.56E-166,580,Genbank
ESV_293,Borelis_schlumbergeri_3737_Spermonde,94.081,100,9.68E-139,488,Genbank
ESV_294,Trifarina_earlandi_&_Uvigerina_bifurcata,99.69,100,7.22E-170,592,Genbank
ESV_295,Encrusting_Rik_9441_consensus0_977,97.799,98,4.41E-157,549,Genbank
ESV_296,Lacogromia_cassipara_18990,86.378,99,1.33E-97,351,Genbank
ESV_297,Amphisorus_Rik_9393_9396_&_Biloculina_Rik_9439,95.016,100,9.61E-144,505,Genbank
ESV_298,Calcarina_sp._5164_Spermonde,98.762,100,7.27E-165,575,Genbank
ESV_299,Vertebralina_Rik_9325_consensus0_1751,99.065,100,2.01E-165,577,Genbank
ESV_301,Miliolid_Rik_9400_9405_Israel,99.688,99,3.34E-168,586,Genbank
ESV_303,Murrayinella_globosa_18043,92.26,100,7.64E-130,459,Genbank
ESV_304,Encrusting_Rik_9441_consensus0_977,98.762,100,7.27E-165,575,Genbank
ESV_305,Encrusting_Rik_9441_consensus0_977,98.452,100,3.38E-163,569,Genbank
ESV_306,Heterostegina_depressa_sp2_Spermonde,98.438,99,1.57E-161,564,Genbank
ESV_307,Stainforthia_sp._17321,97.833,100,2.62E-159,556,Genbank
ESV_308,Encrusting_Rik_9441_consensus0_977,92.26,100,7.64E-130,459,Genbank
ESV_309,Murrayinella_globosa_18043,95.666,100,3.45E-148,520,Genbank
ESV_310,Peneroplis_sp1_Spermonde,98.428,99,2.02E-160,560,Genbank
ESV_311,Encrusting_Rik_9441_consensus0_977,99.071,100,1.56E-166,580,Genbank
ESV_312,Encrusting_Rik_9441_consensus0_977,97.833,100,7.32E-160,558,Genbank
ESV_313,Encrusting_Rik_9441_consensus0_977,99.071,100,1.56E-166,580,Genbank
ESV_314,Murrayinella_globosa_18043,98.142,100,1.57E-161,564,Genbank
ESV_316,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,99.381,100,3.36E-168,586,Genbank
ESV_317,Encrusting_Rik_9441_consensus0_977,97.833,100,7.32E-160,558,Genbank
ESV_319,Borelis_schlumbergeri_3737_Spermonde,94.704,100,4.47E-142,499,Genbank
ESV_320,Trifarina_earlandi_&_Uvigerina_bifurcata,97.833,100,7.32E-160,558,Genbank
ESV_321,Encrusting_Rik_9441_consensus0_977,98.119,99,2.63E-159,556,Genbank
ESV_322,Discanomalina_coronata_18034,95.925,99,1.24E-147,518,Genbank
ESV_323,Amphisorus_Rik_9393_9396_&_Biloculina_Rik_9439,95.016,100,9.61E-144,505,Genbank
ESV_324,Rosalina_sp._17595,98.762,100,7.27E-165,575,Genbank
ESV_326,Encrusting_Rik_9441_consensus0_977,98.452,100,3.38E-163,569,Genbank
ESV_327,Amphistegina_lessonii,98.142,100,1.57E-161,564,Genbank
ESV_330,Oridorsalis_umbonatus_18653,99.381,100,3.36E-168,586,Genbank
ESV_333,Eggerelloides_scaber_12301,96.285,100,1.6E-151,531,Genbank
ESV_335,Encrusting_Rik_9441_consensus0_977,94.427,100,1.62E-141,497,Genbank
ESV_337,Elphidium_Rik_9327_9337_9350_Spermonde,97.833,100,7.32E-160,558,Genbank
ESV_338,Miliolid_Rik_9400_9405_Israel,99.062,99,7.22E-165,575,Genbank
ESV_339,Pyrgo_Rik_9347_consensus0_1557,96.562,99,1.59E-151,531,Genbank
ESV_340,Textularid_Rik_9398_consensus128_73,90.994,100,4.6E-122,433,Genbank
ESV_341,Calcarina_sp._5164_Spermonde,99.375,99,1.56E-166,580,Genbank
ESV_343,Cyrea_szymborska_17247,93.851,96,1.64E-131,464,Genbank
ESV_344,Trifarina_earlandi_&_Uvigerina_bifurcata,98.762,100,2.61E-164,573,Genbank
ESV_345,Trifarina_earlandi_&_Uvigerina_bifurcata,94.41,99,5.82E-141,496,Genbank
ESV_346,Lacogromia_cassipara_18990,86.378,99,1.33E-97,351,Genbank
ESV_349,Nummulites_venosus,98.452,100,3.38E-163,569,Genbank
ESV_350,Cyrea_szymborska_17247,93.548,96,7.61E-130,459,Genbank
ESV_351,Planorbulinella_sp._17893,98.457,100,3.38E-163,569,Genbank
ESV_353,Encrusting_Rik_9441_consensus0_977,97.833,100,7.32E-160,558,Genbank
ESV_355,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,98.428,99,2.02E-160,560,Genbank
ESV_357,Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._5247_Spermonde,98.142,100,1.57E-161,564,Genbank
ESV_358,Rosalina_sp._17595,97.806,99,1.23E-157,551,Genbank
ESV_359,Murrayinella_globosa_18043,98.142,100,1.57E-161,564,Genbank
ESV_360,Murrayinella_globosa_18043,98.148,100,1.57E-161,564,Genbank
ESV_362,Haynesina_germanica_18209,92.879,99,1.27E-132,468,Genbank
ESV_363,Textularid_Rik_9399_consensus0_1584,97.214,99,2.05E-155,544,Genbank
ESV_364,Milliolid_red_Rik_9370_9371_9372_Israel,95.327,100,2.07E-145,510,Genbank
ESV_365,Encrusting_Rik_9441_consensus0_977,98.457,100,3.38E-163,569,Genbank
ESV_366,Eggerelloides_scaber_12301,99.69,100,7.22E-170,592,Genbank
ESV_367,Pyrgo_Rik_9347_consensus0_1557,76.453,100,1.44E-42,169,Genbank
ESV_368,Pyrgo_Rik_9347_consensus0_1557,99.688,100,9.28E-169,588,Genbank
ESV_369,Textularid_Rik_9397_consensus4_105,95.975,100,7.42E-150,525,Genbank
ESV_370,Murrayinella_globosa_18043,98.142,100,1.57E-161,564,Genbank
ESV_371,Textularid_Rik_9399_consensus0_1584,80.864,99,4.99E-67,250,Genbank
ESV_373,Globocassidulina_biora_17225,100,100,1.55E-171,597,Genbank
